CustomerID,Gender,Age,Annual Income,Spending Score,Age Group,Spending Score Category
1,Male,19,15,39,18-24,Low
2,Male,21,15,81,18-24,Very High
3,Female,20,16,6,18-24,Very Low
4,Female,23,16,77,18-24,High
5,Female,31,17,40,25-34,Medium
6,Female,22,17,76,18-24,High
7,Female,35,18,6,35-44,Very Low
8,Female,23,18,94,18-24,Very High
9,Male,64,19,3,55-64,Very Low
10,Female,30,19,72,25-34,High
11,Male,67,19,14,65+,Very Low
12,Female,35,19,99,35-44,Very High
13,Female,58,20,15,55-64,Very Low
14,Female,24,20,77,18-24,High
15,Male,37,20,13,35-44,Very Low
16,Male,22,20,79,18-24,High
17,Female,35,21,35,35-44,Low
18,Male,20,21,66,18-24,High
19,Male,52,23,29,45-54,Low
20,Female,35,23,98,35-44,Very High
21,Male,35,24,35,35-44,Low
22,Male,25,24,73,25-34,High
23,Female,46,25,5,45-54,Very Low
24,Male,31,25,73,25-34,High
25,Female,54,28,14,45-54,Very Low
26,Male,29,28,82,25-34,Very High
27,Female,45,28,32,45-54,Low
28,Male,35,28,61,35-44,High
29,Female,40,29,31,35-44,Low
30,Female,23,29,87,18-24,Very High
31,Male,60,30,4,55-64,Very Low
32,Female,21,30,73,18-24,High
33,Male,53,33,4,45-54,Very Low
34,Male,18,33,92,18-24,Very High
35,Female,49,33,14,45-54,Very Low
36,Female,21,33,81,18-24,Very High
37,Female,42,34,17,35-44,Very Low
38,Female,30,34,73,25-34,High
39,Female,36,37,26,35-44,Low
40,Female,20,37,75,18-24,High
41,Female,65,38,35,65+,Low
42,Male,24,38,92,18-24,Very High
43,Male,48,39,36,45-54,Low
44,Female,31,39,61,25-34,High
45,Female,49,39,28,45-54,Low
46,Female,24,39,65,18-24,High
47,Female,50,40,55,45-54,Medium
48,Female,27,40,47,25-34,Medium
49,Female,29,40,42,25-34,Medium
50,Female,31,40,42,25-34,Medium
51,Female,49,42,52,45-54,Medium
52,Male,33,42,60,25-34,High
53,Female,31,43,54,25-34,Medium
54,Male,59,43,60,55-64,High
55,Female,50,43,45,45-54,Medium
56,Male,47,43,41,45-54,Medium
57,Female,51,44,50,45-54,Medium
58,Male,69,44,46,65+,Medium
59,Female,27,46,51,25-34,Medium
60,Male,53,46,46,45-54,Medium
61,Male,70,46,56,,Medium
62,Male,19,46,55,18-24,Medium
63,Female,67,47,52,65+,Medium
64,Female,54,47,59,45-54,Medium
65,Male,63,48,51,55-64,Medium
66,Male,18,48,59,18-24,Medium
67,Female,43,48,50,35-44,Medium
68,Female,68,48,48,65+,Medium
69,Male,19,48,59,18-24,Medium
70,Female,32,48,47,25-34,Medium
71,Male,70,49,55,,Medium
72,Female,47,49,42,45-54,Medium
73,Female,60,50,49,55-64,Medium
74,Female,60,50,56,55-64,Medium
75,Male,59,54,47,55-64,Medium
76,Male,26,54,54,25-34,Medium
77,Female,45,54,53,45-54,Medium
78,Male,40,54,48,35-44,Medium
79,Female,23,54,52,18-24,Medium
80,Female,49,54,42,45-54,Medium
81,Male,57,54,51,55-64,Medium
82,Male,38,54,55,35-44,Medium
83,Male,67,54,41,65+,Medium
84,Female,46,54,44,45-54,Medium
85,Female,21,54,57,18-24,Medium
86,Male,48,54,46,45-54,Medium
87,Female,55,57,58,55-64,Medium
88,Female,22,57,55,18-24,Medium
89,Female,34,58,60,25-34,High
90,Female,50,58,46,45-54,Medium
91,Female,68,59,55,65+,Medium
92,Male,18,59,41,18-24,Medium
93,Male,48,60,49,45-54,Medium
94,Female,40,60,40,35-44,Medium
95,Female,32,60,42,25-34,Medium
96,Male,24,60,52,18-24,Medium
97,Female,47,60,47,45-54,Medium
98,Female,27,60,50,25-34,Medium
99,Male,48,61,42,45-54,Medium
100,Male,20,61,49,18-24,Medium
101,Female,23,62,41,18-24,Medium
102,Female,49,62,48,45-54,Medium
103,Male,67,62,59,65+,Medium
104,Male,26,62,55,25-34,Medium
105,Male,49,62,56,45-54,Medium
106,Female,21,62,42,18-24,Medium
107,Female,66,63,50,65+,Medium
108,Male,54,63,46,45-54,Medium
109,Male,68,63,43,65+,Medium
110,Male,66,63,48,65+,Medium
111,Male,65,63,52,65+,Medium
112,Female,19,63,54,18-24,Medium
113,Female,38,64,42,35-44,Medium
114,Male,19,64,46,18-24,Medium
115,Female,18,65,48,18-24,Medium
116,Female,19,65,50,18-24,Medium
117,Female,63,65,43,55-64,Medium
118,Female,49,65,59,45-54,Medium
119,Female,51,67,43,45-54,Medium
120,Female,50,67,57,45-54,Medium
121,Male,27,67,56,25-34,Medium
122,Female,38,67,40,35-44,Medium
123,Female,40,69,58,35-44,Medium
124,Male,39,69,91,35-44,Very High
125,Female,23,70,29,18-24,Low
126,Female,31,70,77,25-34,High
127,Male,43,71,35,35-44,Low
128,Male,40,71,95,35-44,Very High
129,Male,59,71,11,55-64,Very Low
130,Male,38,71,75,35-44,High
131,Male,47,71,9,45-54,Very Low
132,Male,39,71,75,35-44,High
133,Female,25,72,34,25-34,Low
134,Female,31,72,71,25-34,High
135,Male,20,73,5,18-24,Very Low
136,Female,29,73,88,25-34,Very High
137,Female,44,73,7,35-44,Very Low
138,Male,32,73,73,25-34,High
139,Male,19,74,10,18-24,Very Low
140,Female,35,74,72,35-44,High
141,Female,57,75,5,55-64,Very Low
142,Male,32,75,93,25-34,Very High
143,Female,28,76,40,25-34,Medium
144,Female,32,76,87,25-34,Very High
145,Male,25,77,12,25-34,Very Low
146,Male,28,77,97,25-34,Very High
147,Male,48,77,36,45-54,Low
148,Female,32,77,74,25-34,High
149,Female,34,78,22,25-34,Low
150,Male,34,78,90,25-34,Very High
151,Male,43,78,17,35-44,Very Low
152,Male,39,78,88,35-44,Very High
153,Female,44,78,20,35-44,Low
154,Female,38,78,76,35-44,High
155,Female,47,78,16,45-54,Very Low
156,Female,27,78,89,25-34,Very High
157,Male,37,78,1,35-44,Very Low
158,Female,30,78,78,25-34,High
159,Male,34,78,1,25-34,Very Low
160,Female,30,78,73,25-34,High
161,Female,56,79,35,55-64,Low
162,Female,29,79,83,25-34,Very High
163,Male,19,81,5,18-24,Very Low
164,Female,31,81,93,25-34,Very High
165,Male,50,85,26,45-54,Low
166,Female,36,85,75,35-44,High
167,Male,42,86,20,35-44,Low
168,Female,33,86,95,25-34,Very High
169,Female,36,87,27,35-44,Low
170,Male,32,87,63,25-34,High
171,Male,40,87,13,35-44,Very Low
172,Male,28,87,75,25-34,High
173,Male,36,87,10,35-44,Very Low
174,Male,36,87,92,35-44,Very High
175,Female,52,88,13,45-54,Very Low
176,Female,30,88,86,25-34,Very High
177,Male,58,88,15,55-64,Very Low
178,Male,27,88,69,25-34,High
179,Male,59,93,14,55-64,Very Low
180,Male,35,93,90,35-44,Very High
181,Female,37,97,32,35-44,Low
182,Female,32,97,86,25-34,Very High
183,Male,46,98,15,45-54,Very Low
184,Female,29,98,88,25-34,Very High
185,Female,41,99,39,35-44,Low
186,Male,30,99,97,25-34,Very High
187,Female,54,101,24,45-54,Low
188,Male,28,101,68,25-34,High
189,Female,41,103,17,35-44,Very Low
190,Female,36,103,85,35-44,Very High
191,Female,34,103,23,25-34,Low
192,Female,32,103,69,25-34,High
193,Male,33,113,8,25-34,Very Low
194,Female,38,113,91,35-44,Very High
195,Female,47,120,16,45-54,Very Low
196,Female,35,120,79,35-44,High
197,Female,45,126,28,45-54,Low
198,Male,32,126,74,25-34,High
199,Male,32,137,18,25-34,Very Low
200,Male,30,137,83,25-34,Very High
